CustomerKey,Prefix,FirstName,LastName,BirthDate,MyUnknownColumn,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,Phone_number
11165,MS.,JOCELYN,ALEXANDER,18-07-1973,,M,F,jocelyn18@learnsector.com,"$60,000 ",0,Partial College,Skilled Manual,N,8313244638
11166,MS.,ASHLEY,MARTINEZ,24-04-1972,,S,F,ashley18@learnsector.com,"$70,000 ",0,Partial College,Skilled Manual,N,387174651
11167,MS.,JASMINE,BARNES,08-01-1972,,S,F,jasmine43@learnsector.com,"$80,000 ",0,Bachelors,Management,N,9096668383
11168,MR.,DAVID,RODRIGUEZ,15-05-1968,,S,M,david83@learnsector.com,"$80,000 ",0,Bachelors,Management,N,10982223
11169,MR.,BRYCE,RICHARDSON,22-06-1968,,M,M,bryce8@learnsector.com,"$90,000 ",4,Bachelors,Management,Y,2571302832
11170,MRS.,CAROL,HOWARD,02-05-1968,,M,F,carol5@learnsector.com,"$90,000 ",4,Bachelors,Management,Y,2218591786
11171,MR.,JONATHAN,HILL,10-09-1967,,S,M,jonathan43@learnsector.com,"$100,000 ",1,Bachelors,Management,Y,864633615
11172,MRS.,GABRIELLE,ADAMS,21-11-1967,,M,F,gabrielle58@learnsector.com,"$100,000 ",1,Bachelors,Management,Y,111308722
11173,MS.,SARAH,THOMAS,09-01-1967,,S,F,sarah13@learnsector.com,"$110,000 ",0,Graduate Degree,Management,N,1516533240
11174,MR.,NICHOLAS,ROBINSON,13-07-1967,,M,M,nicholas19@learnsector.com,"$110,000 ",0,Graduate Degree,Management,Y,4925131267
11175,MR.,LUIS,WANG,03-05-1963,,S,M,luis24@learnsector.com,"$70,000 ",0,Partial College,Skilled Manual,Y,1217069987
11176,MR.,MASON,ROBERTS,25-01-1968,,M,M,mason25@learnsector.com,"$90,000 ",4,Bachelors,Management,Y,5657286878
11177,MR.,JOSE,FLORES,07-04-1942,,M,M,jose6@learnsector.com,"$110,000 ",2,Graduate Degree,Management,Y,4382411182
11178,MR.,NATHAN,JOHNSON,24-08-1943,,M,M,nathan55@learnsector.com,"$100,000 ",2,Graduate Degree,Management,Y,41765431
11179,MRS.,MOLLY,RODRIGUEZ,14-06-1943,,M,F,molly18@learnsector.com,"$120,000 ",2,Graduate Degree,Management,Y,593952633
11180,MRS.,APRIL,ANAND,01-02-1943,,M,F,april18@learnsector.com,"$160,000 ",1,Bachelors,Management,Y,2508291432
11181,MR.,DEVIN,MARTIN,08-08-1943,,M,M,devin13@learnsector.com,"$170,000 ",2,Graduate Degree,Management,Y,1159602405
11182,MRS.,STEPHANIE,TORRES,25-08-1944,,S,F,stephanie19@learnsector.com,"$70,000 ",4,Bachelors,Management,Y,4111177672
11183,MRS.,JASMINE,LEE,15-07-1944,,S,F,jasmine19@learnsector.com,"$70,000 ",4,Bachelors,Management,Y,6689221704
11184,MRS.,MEGHAN,HERNANDEZ,16-11-1944,,S,F,meghan3@learnsector.com,"$70,000 ",4,Bachelors,Management,Y,7824355260
11185,MRS.,ASHLEY,HENDERSON,10-08-1944,,S,F,ashley31@learnsector.com,"$70,000 ",4,Bachelors,Management,Y,4565204308
11186,MRS.,SARAH,PRICE,21-05-1944,,S,F,sarah25@learnsector.com,"$70,000 ",4,Bachelors,Management,Y,8473823634
11187,MRS.,JENNIFER,COOPER,22-02-1944,,M,F,jennifer63@learnsector.com,"$60,000 ",4,Graduate Degree,Management,Y,9742923185
11188,MRS.,CATHERINE,MORRIS,09-06-1944,,M,F,catherine16@learnsector.com,"$60,000 ",4,Graduate Degree,Management,N,5088564146
11190,MR.,CARSON,BRYANT,22-06-1944,,M,M,carson17@learnsector.com,"$70,000 ",5,Bachelors,Management,Y,6952626342
11191,MRS.,KRISTI,PEREZ,18-12-1945,,S,F,kristi39@learnsector.com,"$70,000 ",5,Bachelors,Management,Y,4406874171
11192,MR.,JAMES,BROWN,13-09-1945,,M,M,james79@learnsector.com,"$60,000 ",4,Bachelors,Management,Y,8042114572
11193,MR.,IAN,GRAY,13-02-1945,,M,M,ian72@learnsector.com,"$60,000 ",4,Bachelors,Management,Y,8882498421
11194,MRS.,JACQUELINE,PRICE,06-10-1945,,M,F,jacqueline0@learnsector.com,"$60,000 ",4,Bachelors,Management,Y,3265874615
11195,MRS.,MEGAN,HENDERSON,02-10-1946,,M,F,megan55@learnsector.com,"$60,000 ",5,Bachelors,Management,Y,8553848008
11196,MR.,ALFREDO,ROMERO,06-07-1946,,M,M,alfredo10@learnsector.com,"$60,000 ",5,Bachelors,Management,Y,7067458515
11197,MRS.,ANDREA,MORRIS,18-06-1946,,M,F,andrea18@learnsector.com,"$70,000 ",3,Bachelors,Management,N,3441086833
